date,rank,title,artist
2025-04-12,88,Shaking When I Pray,Lil Durk
2025-04-12,89,Fix What You Didn't Break,Nate Smith
2025-04-12,90,Keep On Sippin',Lil Durk
2025-04-12,91,Headlock,Imogen Heap
2025-04-12,92,Little Things,Ella Mai
2025-04-12,93,Tattoo,Tito Double P
2025-04-12,94,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-04-19,1,Luther,Kendrick Lamar & SZA
2025-04-19,1,Nokia,Drake
2025-04-19,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-04-19,20,All The Way,BigXthaPlug Featuring Bailey Zimmerman
2025-04-19,1,Pink Pony Club,Chappell Roan
2025-04-19,1,A Bar Song (Tipsy),Shaboozey
2025-04-19,20,Ordinary,Alex Warren
2025-04-19,2,Lose Control,Teddy Swims
2025-04-19,3,I'm The Problem,Morgan Wallen
2025-04-19,4,Beautiful Things,Benson Boone
2025-04-19,5,Birds Of A Feather,Billie Eilish
2025-04-19,6,Just In Case,Morgan Wallen
2025-04-19,7,APT.,ROSE & Bruno Mars
2025-04-19,8,Anxiety,Doechii
2025-04-19,9,That's So True,Gracie Abrams
2025-04-19,10,Not Like Us,Kendrick Lamar
2025-04-19,11,Espresso,Sabrina Carpenter
2025-04-19,12,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-04-19,13,Love Somebody,Morgan Wallen
2025-04-19,14,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-04-19,15,Mutt,Leon Thomas
2025-04-19,16,Messy,Lola Young
2025-04-19,17,Squabble Up,Kendrick Lamar
2025-04-19,18,Sports Car,Tate McRae
2025-04-19,19,30 For 30,SZA With Kendrick Lamar
2025-04-19,20,Timeless,The Weeknd & Playboi Carti
2025-04-19,21,Taste,Sabrina Carpenter
2025-04-19,22,Azizam,Ed Sheeran
2025-04-19,23,I Never Lie,Zach Top
2025-04-19,24,Stargazing,Myles Smith
2025-04-19,25,No One Noticed,The Marias
2025-04-19,26,I'm A Little Crazy,Morgan Wallen
2025-04-19,27,Dark Thoughts,Lil Tecca
2025-04-19,28,Caramel,Sleep Token
2025-04-19,29,Denial Is A River,Doechii
2025-04-19,30,Sailor Song,Gigi Perez
2025-04-19,31,Bad Dreams,Teddy Swims
2025-04-19,32,Abracadabra,Lady Gaga
2025-04-19,33,"Good Luck, Babe!",Chappell Roan
2025-04-19,34,The Giver,Chappell Roan
2025-04-19,35,Twilight Zone,Ariana Grande
2025-04-19,36,Worst Way,Riley Green
2025-04-19,37,Indigo,Sam Barber Featuring Avery Anna
2025-04-19,38,Good News,Shaboozey
2025-04-19,39,Wildflower,Billie Eilish
2025-04-19,40,Rather Lie,Playboi Carti & The Weeknd
2025-04-19,41,Sorry I'm Here For Someone Else,Benson Boone
2025-04-19,42,DTMF,Bad Bunny
2025-04-19,43,Cry For Me,The Weeknd
2025-04-19,44,Residuals,Chris Brown
2025-04-19,45,BMF,SZA
2025-04-19,46,End Of The World,Miley Cyrus
2025-04-19,47,Me Jalo,Fuerza Regida & Grupo Frontera
2025-04-19,48,Baile Inolvidable,Bad Bunny
2025-04-19,49,Am I Okay?,Megan Moroney
2025-04-19,50,Somebody Loves Me,PARTYNEXTDOOR & Drake
2025-04-19,51,Revolving Door,Tate McRae
2025-04-19,52,Ojos Tristes,"Selena Gomez, benny blanco & The Marias"
2025-04-19,53,Smile,Morgan Wallen
2025-04-19,54,Dandelion,Ariana Grande
2025-04-19,55,Te Queria Ver,Aleman X Neton Vega
2025-04-19,56,Evil J0rdan,Playboi Carti
2025-04-19,57,Weren't For The Wind,Ella Langley
2025-04-19,58,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
2025-04-19,59,Loco,Neton Vega
2025-04-19,60,Gimme A Hug,Drake
2025-04-19,61,Peekaboo,Kendrick Lamar Featuring AzChike
2025-04-19,62,Chest Pain (I Love),Malcolm Todd
2025-04-19,63,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
2025-04-19,64,Back To Friends,sombr
2025-04-19,65,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-04-19,66,Busy Woman,Sabrina Carpenter
2025-04-19,67,Heart Of A Woman,Summer Walker
2025-04-19,68,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims
2025-04-19,69,EOO,Bad Bunny
2025-04-19,70,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-04-19,71,No Pole,Don Toliver
2025-04-19,72,Friends Like That,John Morgan Featuring Jason Aldean
2025-04-19,73,Love Me Not,Ravyn Lenae
2025-04-19,74,Holy Smokes,Bailey Zimmerman
2025-04-19,75,Texas,Blake Shelton
2025-04-19,76,Are You Even Real,Teddy Swims & GIVEON
2025-04-19,77,Morena,Neton Vega & Peso Pluma
2025-04-19,78,Feel It,d4vd
2025-04-19,79,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-04-19,80,Back To Me,The Marias
2025-04-19,81,Fix What You Didn't Break,Nate Smith
2025-04-19,82,Emergence,Sleep Token
2025-04-19,83,Intro (End Of The World),Ariana Grande
2025-04-19,84,Nuevayol,Bad Bunny
2025-04-19,85,Hometown Home,LOCASH
2025-04-19,86,The Largest,BigXthaPlug
2025-04-19,87,Headlock,Imogen Heap
2025-04-19,88,Tattoo,Tito Double P
2025-04-19,89,Backseat Driver,Kane Brown
2025-04-19,90,Undressed,sombr
2025-04-19,91,Little Things,Ella Mai
2025-04-19,92,Por Esos Ojos,Fuerza Regida
2025-04-19,93,Haunted,Kane Brown With Jelly Roll
2025-04-19,94,Khe?,Rauw Alejandro & Romeo Santos
2025-04-26,1,Luther,Kendrick Lamar & SZA
2025-04-26,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-04-26,1,Nokia,Drake
2025-04-26,21,Pink Pony Club,Chappell Roan
2025-04-26,1,Ordinary,Alex Warren
2025-04-26,1,A Bar Song (Tipsy),Shaboozey
2025-04-26,21,Lose Control,Teddy Swims
2025-04-26,2,All The Way,BigXthaPlug Featuring Bailey Zimmerman
2025-04-26,3,Beautiful Things,Benson Boone
2025-04-26,4,I'm The Problem,Morgan Wallen
2025-04-26,5,Just In Case,Morgan Wallen
2025-04-26,6,Birds Of A Feather,Billie Eilish
2025-04-26,7,APT.,ROSE & Bruno Mars
2025-04-26,8,Anxiety,Doechii
2025-04-26,9,Espresso,Sabrina Carpenter
2025-04-26,10,Mutt,Leon Thomas
2025-04-26,11,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-04-26,12,That's So True,Gracie Abrams
2025-04-26,13,Not Like Us,Kendrick Lamar
2025-04-26,14,Love Somebody,Morgan Wallen
2025-04-26,15,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-04-26,16,Messy,Lola Young
2025-04-26,17,Sports Car,Tate McRae
2025-04-26,18,Squabble Up,Kendrick Lamar
2025-04-26,19,30 For 30,SZA With Kendrick Lamar
2025-04-26,20,Abracadabra,Lady Gaga
2025-04-26,21,Timeless,The Weeknd & Playboi Carti
2025-04-26,22,Taste,Sabrina Carpenter
2025-04-26,23,I Never Lie,Zach Top
2025-04-26,24,No One Noticed,The Marias
2025-04-26,25,Stargazing,Myles Smith
2025-04-26,26,Bad Dreams,Teddy Swims
2025-04-26,27,Fortnight,Taylor Swift Featuring Post Malone
2025-04-26,28,Good News,Shaboozey
2025-04-26,29,Sailor Song,Gigi Perez
2025-04-26,30,Sorry I'm Here For Someone Else,Benson Boone
2025-04-26,31,I'm A Little Crazy,Morgan Wallen
2025-04-26,32,Worst Way,Riley Green
2025-04-26,33,Azizam,Ed Sheeran
2025-04-26,34,Indigo,Sam Barber Featuring Avery Anna
2025-04-26,35,Dark Thoughts,Lil Tecca
2025-04-26,36,Denial Is A River,Doechii
2025-04-26,37,Cry For Me,The Weeknd
2025-04-26,38,Wildflower,Billie Eilish
2025-04-26,39,DTMF,Bad Bunny
2025-04-26,40,Residuals,Chris Brown
2025-04-26,41,Twilight Zone,Ariana Grande
2025-04-26,42,Me Jalo,Fuerza Regida & Grupo Frontera
2025-04-26,43,Rather Lie,Playboi Carti & The Weeknd
2025-04-26,44,Am I Okay?,Megan Moroney
2025-04-26,45,The Giver,Chappell Roan
2025-04-26,46,Weren't For The Wind,Ella Langley
2025-04-26,47,Baile Inolvidable,Bad Bunny
2025-04-26,48,Somebody Loves Me,PARTYNEXTDOOR & Drake
2025-04-26,49,BMF,SZA
2025-04-26,50,Back To Friends,sombr
2025-04-26,51,Friends Like That,John Morgan Featuring Jason Aldean
2025-04-26,52,Te Queria Ver,Aleman X Neton Vega
2025-04-26,53,Smile,Morgan Wallen
2025-04-26,54,Ojos Tristes,"Selena Gomez, benny blanco & The Marias"
2025-04-26,55,Revolving Door,Tate McRae
2025-04-26,56,Loco,Neton Vega
2025-04-26,57,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
2025-04-26,58,Peekaboo,Kendrick Lamar Featuring AzChike
2025-04-26,59,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims
2025-04-26,60,Busy Woman,Sabrina Carpenter
2025-04-26,61,Holy Smokes,Bailey Zimmerman
2025-04-26,62,Caramel,Sleep Token
2025-04-26,63,End Of The World,Miley Cyrus
2025-04-26,64,Love Me Not,Ravyn Lenae
2025-04-26,65,Gimme A Hug,Drake
2025-04-26,66,Fix What You Didn't Break,Nate Smith
2025-04-26,67,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
2025-04-26,68,Texas,Blake Shelton
2025-04-26,69,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-04-26,70,No Pole,Don Toliver
2025-04-26,71,Chest Pain (I Love),Malcolm Todd
2025-04-26,72,Are You Even Real,Teddy Swims & GIVEON
2025-04-26,73,EOO,Bad Bunny
2025-04-26,74,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-04-26,75,Blue Strips,Jessie Murph
2025-04-26,76,The Largest,BigXthaPlug
2025-04-26,77,Morena,Neton Vega & Peso Pluma
2025-04-26,78,Undressed,sombr
2025-04-26,79,Feel It,d4vd
2025-04-26,80,Backseat Driver,Kane Brown
2025-04-26,81,Evil J0rdan,Playboi Carti
2025-04-26,82,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-04-26,83,Nuevayol,Bad Bunny
2025-04-26,84,"Henry, Come On",Lana Del Rey
2025-04-26,85,Haunted,Kane Brown With Jelly Roll
2025-04-26,86,Tattoo,Tito Double P
2025-04-26,87,Headlock,Imogen Heap
2025-04-26,88,Hands Of Time,Eric Church
2025-04-26,89,Por Esos Ojos,Fuerza Regida
2025-04-26,90,like JENNIE,JENNIE
2025-04-26,91,Not At This Party,Dasha
2025-04-26,92,Whiskey Drink,Jason Aldean
2025-04-26,93,Little Things,Ella Mai
2025-04-26,94,Dandelion,Ariana Grande
2025-05-03,1,Luther,Kendrick Lamar & SZA
2025-05-03,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-05-03,1,Ordinary,Alex Warren
2025-05-03,22,Nokia,Drake
2025-05-03,1,A Bar Song (Tipsy),Shaboozey
2025-05-03,1,Pink Pony Club,Chappell Roan
2025-05-03,22,I'm The Problem,Morgan Wallen
2025-05-03,2,I Ain't Coming Back,Morgan Wallen & Post Malone
2025-05-03,3,Lose Control,Teddy Swims
2025-05-03,4,Beautiful Things,Benson Boone
2025-05-03,5,All The Way,BigXthaPlug Featuring Bailey Zimmerman
2025-05-03,6,Anxiety,Doechii
2025-05-03,7,Birds Of A Feather,Billie Eilish
2025-05-03,8,Just In Case,Morgan Wallen
2025-05-03,9,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-05-03,10,APT.,ROSE & Bruno Mars
2025-05-03,11,Love Somebody,Morgan Wallen
2025-05-03,12,Mutt,Leon Thomas
2025-05-03,13,Espresso,Sabrina Carpenter
2025-05-03,14,That's So True,Gracie Abrams
2025-05-03,15,Not Like Us,Kendrick Lamar
2025-05-03,16,Messy,Lola Young
2025-05-03,17,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-05-03,18,30 For 30,SZA With Kendrick Lamar
2025-05-03,19,Sports Car,Tate McRae
2025-05-03,20,Abracadabra,Lady Gaga
2025-05-03,21,Squabble Up,Kendrick Lamar
2025-05-03,22,Stargazing,Myles Smith
2025-05-03,23,No One Noticed,The Marias
2025-05-03,24,Bad Dreams,Teddy Swims
2025-05-03,25,I Never Lie,Zach Top
2025-05-03,26,Timeless,The Weeknd & Playboi Carti
2025-05-03,27,Taste,Sabrina Carpenter
2025-05-03,28,Sorry I'm Here For Someone Else,Benson Boone
2025-05-03,29,Blue Strips,Jessie Murph
2025-05-03,30,Worst Way,Riley Green
2025-05-03,31,Good News,Shaboozey
2025-05-03,32,Sailor Song,Gigi Perez
2025-05-03,33,Weren't For The Wind,Ella Langley
2025-05-03,34,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
2025-05-03,35,I'm A Little Crazy,Morgan Wallen
2025-05-03,36,Azizam,Ed Sheeran
2025-05-03,37,Wildflower,Billie Eilish
2025-05-03,38,Cry For Me,The Weeknd
2025-05-03,39,Dark Thoughts,Lil Tecca
2025-05-03,40,Residuals,Chris Brown
2025-05-03,41,Denial Is A River,Doechii
2025-05-03,42,DTMF,Bad Bunny
2025-05-03,43,Indigo,Sam Barber Featuring Avery Anna
2025-05-03,44,Am I Okay?,Megan Moroney
2025-05-03,45,Back To Friends,sombr
2025-05-03,46,Me Jalo,Fuerza Regida & Grupo Frontera
2025-05-03,47,Love Me Not,Ravyn Lenae
2025-05-03,48,Smile,Morgan Wallen
2025-05-03,49,Twilight Zone,Ariana Grande
2025-05-03,50,Somebody Loves Me,PARTYNEXTDOOR & Drake
2025-05-03,51,Undressed,sombr
2025-05-03,52,Revolving Door,Tate McRae
2025-05-03,53,Baile Inolvidable,Bad Bunny
2025-05-03,54,Rather Lie,Playboi Carti & The Weeknd
2025-05-03,55,The Giver,Chappell Roan
2025-05-03,56,Peekaboo,Kendrick Lamar Featuring AzChike
2025-05-03,57,BMF,SZA
2025-05-03,58,Fix What You Didn't Break,Nate Smith
2025-05-03,59,Holy Smokes,Bailey Zimmerman
2025-05-03,60,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims
2025-05-03,61,Te Queria Ver,Aleman X Neton Vega
2025-05-03,62,Friends Like That,John Morgan Featuring Jason Aldean
2025-05-03,63,Loco,Neton Vega
2025-05-03,64,Texas,Blake Shelton
2025-05-03,65,Happen To Me,Russell Dickerson
2025-05-03,66,Your Way's Better,Forrest Frank
2025-05-03,67,Backseat Driver,Kane Brown
2025-05-03,68,Busy Woman,Sabrina Carpenter
2025-05-03,69,Are You Even Real,Teddy Swims & GIVEON
2025-05-03,70,Ojos Tristes,"Selena Gomez, benny blanco & The Marias"
2025-05-03,71,EOO,Bad Bunny
2025-05-03,72,Steve's Lava Chicken,Jack Black
2025-05-03,73,The Largest,BigXthaPlug
2025-05-03,74,No Pole,Don Toliver
2025-05-03,75,Feel It,d4vd
2025-05-03,76,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-05-03,77,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-05-03,78,Morena,Neton Vega & Peso Pluma
2025-05-03,79,Haunted,Kane Brown With Jelly Roll
2025-05-03,80,Gimme A Hug,Drake
2025-05-03,81,Headphones On,Addison Rae
2025-05-03,82,End Of The World,Miley Cyrus
2025-05-03,83,Whiskey Drink,Jason Aldean
2025-05-03,84,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
2025-05-03,85,Forever To Me,Cole Swindell
2025-05-03,86,Whim Whamiee,PLUTO & YKNIECE
2025-05-03,87,Chest Pain (I Love),Malcolm Todd
2025-05-03,88,Nuevayol,Bad Bunny
2025-05-03,89,Party 4 U,Charli xcx
2025-05-03,90,Actin Up,Tommy Richman
2025-05-03,91,Tattoo,Tito Double P
2025-05-03,92,House Again,Hudson Westbrook
2025-05-03,93,like JENNIE,JENNIE
2025-05-03,94,Caramel,Sleep Token
