title,artist_combined,date,rank,spotify_id,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist
outfit / tabout,lil baby & 21 savage / kalil,2025-01-18,44,5J2Bor0WtYLy76D229gh8j,25,3,14,MA,4/2/2025,55,False,199968,TABOUT,4/9/2024,0.628,0.362,4,-13.705,0,0.106,0.566,4.76e-05,0.112,0.211,96.127,4,kalil
weltita,"bad bunny & chuwi / bad bunny, chuwi",2025-01-18,46,5WEF0icHWmAZBBMglBd599,37,2,5,VE,4/2/2025,90,False,187507,DeBÍ TiRAR MáS FOToS,1/5/2025,0.458,0.297,4,-32.354,0,0.6,0.866,0.329,0.346,0.357,96.14,3,bad bunny
redbone / kreide 2,"lil baby & glorilla / king khalil, capital bra",2025-01-18,47,5sFKAePKWGUNzCAxtKWzeM,46,4,4,DE,6/22/2024,29,True,150350,Kreide 2,6/21/2024,0.544,0.595,1,-5.268,1,0.441,0.113,0.0,0.123,0.408,88.537,4,king khalil
eoo,bad bunny,2025-01-18,48,6J5kc12BW5HuP3d7C3vvx8,28,-3,-4,,4/2/2025,93,True,204768,DeBÍ TiRAR MáS FOToS,1/5/2025,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4,bad bunny
f u 2x / lyft em up,lil baby / lil uzi vert,2025-01-18,51,6f1DJYPjsyIwMD4g1h3fIK,49,1,1,US,11/3/2024,63,True,164594,Eternal Atake 2,11/1/2024,0.784,0.663,2,-7.165,1,0.259,0.0378,0.0,0.22,0.0789,140.092,4,lil uzi vert
ketu tecre / ketu tecré,bad bunny,2025-01-18,53,4c2Pc0NrfkesPR0jff6q3F,49,0,-7,VE,2/28/2025,83,True,250789,DeBÍ TiRAR MáS FOToS,1/5/2025,0.27,0.277,8,-32.187,1,0.0477,0.0177,0.485,0.111,0.082,111.353,3,bad bunny
listen up / lyft em up,lil baby / lil uzi vert,2025-01-18,59,6f1DJYPjsyIwMD4g1h3fIK,49,1,1,US,11/3/2024,63,True,164594,Eternal Atake 2,11/1/2024,0.784,0.663,2,-7.165,1,0.259,0.0378,0.0,0.22,0.0789,140.092,4,lil uzi vert
kloufrens,bad bunny,2025-01-18,60,4MUrUT38U98olfnyzMBCzm,18,-4,-1,VE,4/2/2025,90,True,199114,DeBÍ TiRAR MáS FOToS,1/5/2025,0.326,0.125,1,-32.45,1,0.148,0.703,0.706,0.18,0.306,106.974,4,bad bunny
bokete,bad bunny,2025-01-18,63,79x7xtoCLpf6l32Zz6mWo4,48,0,-5,SV,2/25/2025,83,True,215983,DeBÍ TiRAR MáS FOToS,1/5/2025,0.4,0.07,1,-32.756,1,0.0456,0.194,0.956,0.116,0.0344,124.927,4,bad bunny
so sorry / eso e eso,"lil baby / lil naay, shadow blow",2025-01-18,68,1N7DEhFD6dPSPyOqwTdJnU,42,-12,-10,DO,4/2/2025,58,True,113125,Eso E Eso,12/23/2024,0.616,0.729,1,-5.006,0,0.205,0.0231,0.0,0.0844,0.491,128.218,5,lil naay
denial is a river,doechii,2025-01-18,70,1eTaznNW4Xxtx9za2SMTXB,33,0,-9,US,4/2/2025,92,True,159586,Alligator Bites Never Heal,8/30/2024,0.825,0.644,6,-3.24,0,0.33,0.0905,0.0,0.0795,0.622,93.292,4,doechii
turista,bad bunny,2025-01-18,71,7tCuCjhxzjX2XCz4JiiAsp,49,1,-10,SV,3/1/2025,83,False,190028,DeBÍ TiRAR MáS FOToS,1/5/2025,0.358,0.12,8,-30.487,1,0.523,0.456,0.0653,0.146,0.318,90.929,3,bad bunny
cafe con ron / café con ron,"bad bunny & los pleneros de la cresta / bad bunny, los pleneros de la cresta",2025-01-18,77,6VNXmo59yDYgcwLS17UNAW,44,0,6,PA,3/6/2025,82,False,228836,DeBÍ TiRAR MáS FOToS,1/5/2025,0.328,0.153,9,-26.802,1,0.0564,0.148,1.28e-06,0.397,0.0376,95.506,4,bad bunny
lo que le paso a hawaii / lo que le pasó a hawaii,bad bunny,2025-01-18,88,1Hg0e997pObvZ91w1FCPFk,50,-4,-4,PA,2/2/2025,86,False,229381,DeBÍ TiRAR MáS FOToS,1/5/2025,0.0939,0.00174,11,-54.341,1,0.0638,0.247,0.000195,0.245,0.0679,82.653,4,bad bunny
la mudanza,bad bunny,2025-01-18,89,3G7agPwWfcORnWCAGMDOpm,50,-1,-8,VE,2/17/2025,85,True,213010,DeBÍ TiRAR MáS FOToS,1/5/2025,0.565,0.926,7,-5.607,1,0.0573,0.975,0.944,0.131,0.971,173.978,3,bad bunny
are you even real / are you even real (feat. givēon),"teddy swims & giveon / teddy swims, giveon",2025-01-25,53,4ZO4HvFADvujrrEidSatEC,42,2,8,NO,1/17/2025,74,False,147702,Are You Even Real (feat. Givēon),1/10/2025,0.794,0.296,6,-5.442,1,0.126,0.296,0.0,0.174,0.617,74.906,3,teddy swims
the days / the days - notion remix,"chrystal / chrystal, notion",2025-01-25,91,2FAZskT9yRjp2Oow9szJD8,31,7,5,PL,4/2/2025,90,False,233229,The Days (NOTION Remix),11/8/2024,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63e-06,0.55,0.237,137.812,4,chrystal
forever young,"david guetta, alphaville & ava max / david guetta, alphaville, ava max",2025-01-25,93,3bg2qahpZmsg5wV2EMPXIk,41,8,1,FR,3/9/2025,77,False,156923,Forever Young,10/18/2024,0.558,0.655,0,-5.476,1,0.0379,0.208,0.0,0.0854,0.39,129.89,4,david guetta
headlock,imogen heap,2025-01-25,94,63Pi2NAx5yCgeLhCTOrEou,45,1,2,US,4/2/2025,89,False,215338,Speak for Yourself (Deluxe Version),1/1/2005,0.808,0.372,7,-10.759,0,0.0364,0.792,0.0,0.119,0.787,119.982,4,imogen heap
funny papers,mac miller,2025-02-01,71,4pu58kqegTnOxPNJpY3kr9,47,-22,3,US,1/19/2025,67,True,263941,Balloonerism,1/17/2025,0.471,0.645,0,-7.387,0,0.242,0.761,0.0035,0.111,0.224,169.24,4,mac miller
5 dollar pony rides,mac miller,2025-02-01,79,1xKGnsdKOh8jx8pzSZAgXE,21,29,29,US,1/18/2025,38,False,222119,Balloonerism,1/17/2025,0.741,0.83,11,-5.916,0,0.0853,0.259,0.00748,0.116,0.301,95.518,4,mac miller
push 2 start,tyla,2025-02-01,82,1Cbl3Yq8rHo7hhDQmLQagU,46,4,4,AE,4/2/2025,87,False,156825,TYLA +,10/11/2024,0.683,0.814,2,-3.505,1,0.0466,0.277,0.00826,0.0858,0.758,93.482,4,tyla
dj's chord organ / dj's chord organ (feat. sza),"mac miller featuring sza / mac miller, sza",2025-02-01,89,1JtAIBbCgomz38qPBSJzCn,15,35,35,US,1/18/2025,43,True,315640,Balloonerism,1/17/2025,0.373,0.557,9,-7.435,1,0.0977,0.55,0.375,0.263,0.16,145.689,4,mac miller
stoned,mac miller,2025-02-01,91,1e3AdX6I8gaQKjQMONn9tA,50,0,0,US,1/18/2025,38,False,243522,Balloonerism,1/17/2025,0.643,0.85,7,-6.46,0,0.258,0.703,0.00103,0.108,0.248,78.966,4,mac miller
4x4,travis scott,2025-02-08,1,6s8WSX1MxNThrot8ThI6fG,50,0,-7,US,2/19/2025,85,True,190581,4X4,1/24/2025,0.625,0.847,6,-2.95,0,0.0454,0.0392,0.000108,0.788,0.221,143.023,4,travis scott
fat juicy & wet,"sexyy red & bruno mars / sexyy red, bruno mars",2025-02-08,11,5M2lX0ZAYSAzCs1xPPi9BX,43,-3,7,NZ,2/4/2025,81,True,141057,Fat Juicy & Wet,1/24/2025,0.909,0.619,9,-5.894,1,0.0615,0.0823,0.0,0.3,0.64,104.013,4,sexyy red
sports car,tate mcrae,2025-02-08,15,5UJbgR4XF4y1DvbkxEqe8S,15,-1,5,,4/2/2025,83,False,165045,So Close To What,2/20/2025,0.861,0.815,11,-3.672,0,0.0349,0.0505,0.00139,0.1,0.886,106.978,4,tate mcrae
blue jean baby,zach bryan,2025-02-08,67,3yDi4w5cuQQEpQXrozMW2B,24,6,26,US,1/29/2025,68,False,132068,Blue Jean Baby,1/27/2025,0.435,0.675,0,-6.697,1,0.119,0.194,0.0,0.126,0.477,78.432,4,zach bryan
me jalo,"fuerza regida & grupo frontera / fuerza regida, grupo frontera",2025-02-08,91,3D24ErT1MMmUfXWotSj2A2,48,-8,-7,,4/2/2025,91,True,212002,MALA MÍA,12/19/2024,0.47,0.75,2,-5.887,0,0.112,0.216,0.0,0.169,0.62,79.814,4,fuerza regida
mutt,leon thomas,2025-02-08,94,2uvE4L5ZsYKpv8hbK4TIOt,19,-1,-2,NZ,4/2/2025,83,True,192933,MUTT,9/27/2024,0.572,0.455,1,-8.078,1,0.134,0.216,3.88e-06,0.072,0.597,179.787,4,leon thomas
i'm the problem,morgan wallen,2025-02-15,2,3HlWVKwU0JqJXqJK9DWHnZ,23,-1,3,US,4/2/2025,87,False,177811,I'm The Problem,1/31/2025,0.545,0.752,5,-4.989,0,0.0364,0.665,4.3e-06,0.0993,0.491,92.038,1,morgan wallen
cry for me,the weeknd,2025-02-15,6,3AWDeHLc88XogCaCnZQLVI,50,0,0,LU,3/21/2025,89,True,224136,Hurry Up Tomorrow,1/31/2025,0.647,0.645,7,-6.425,0,0.0303,0.0871,0.0,0.671,0.422,120.098,4,the weeknd
abracadabra,lady gaga,2025-02-15,23,2LHNTC9QZxsL3nWpt8iaSR,26,0,2,,4/2/2025,86,False,223398,MAYHEM,3/7/2025,0.679,0.906,10,-3.443,0,0.0632,0.0119,0.0,0.229,0.652,126.01,4,lady gaga
again,fetty wap,2025-02-15,35,4IqXyCH75mW4dMDbHufqDX,48,2,2,US,3/14/2025,73,True,312240,Fetty Wap (Deluxe),9/25/2015,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,4,fetty wap
sao paulo / são paulo,the weeknd & anitta / the weeknd,2025-02-15,37,7DY756WOLyOz2Xnhw4EFiC,10,40,40,,2/1/2025,0,True,301623,Hurry Up Tomorrow,1/31/2025,0.538,0.658,5,-7.273,0,0.076,0.0385,0.000146,0.573,0.553,127.322,4,the weeknd
wake me up,the weeknd & justice / the weeknd,2025-02-15,39,5ehXToeJ8Tgc4wMhY42Oul,12,38,38,,2/1/2025,0,False,308575,Hurry Up Tomorrow,1/30/2025,0.597,0.522,1,-8.918,1,0.034,0.00426,0.00102,0.492,0.153,110.976,4,the weeknd
baptized in fear,the weeknd,2025-02-15,40,0bxRSMz5WY1VuMmOhanE4b,48,-1,-31,AE,2/14/2025,66,False,232176,Hurry Up Tomorrow,1/30/2025,0.564,0.513,7,-7.596,0,0.0325,0.138,0.0,0.379,0.419,123.976,4,the weeknd
open hearts,the weeknd,2025-02-15,42,0stJVUUSrbEwyFHOp2dRu0,42,-3,-29,BG,2/11/2025,61,False,234923,Hurry Up Tomorrow,1/30/2025,0.658,0.753,7,-5.939,0,0.116,0.00301,0.000469,0.204,0.333,123.983,4,the weeknd
reflections laughing,"the weeknd, travis scott & florence + the machine / the weeknd",2025-02-15,47,2gyHr9WqZeMtzJOpWGuGo6,24,26,26,,2/1/2025,0,True,291192,Hurry Up Tomorrow,1/31/2025,0.33,0.355,11,-9.703,0,0.0355,0.135,0.00726,0.131,0.0382,79.818,4,the weeknd
enjoy the show,the weeknd & future / the weeknd,2025-02-15,54,637oNhilCI9UlkWkUW4Grt,32,18,18,,2/1/2025,0,True,301428,Hurry Up Tomorrow,1/31/2025,0.628,0.616,11,-7.423,1,0.0526,0.178,4.7e-05,0.331,0.241,119.978,4,the weeknd
niagara falls,the weeknd,2025-02-15,59,2v0AG62ZHtD3I4YmTb3WYM,49,-4,1,CA,2/7/2025,78,True,277274,Hurry Up Tomorrow,1/31/2025,0.568,0.559,6,-6.829,0,0.0347,0.0748,0.000179,0.192,0.182,97.215,4,the weeknd
the abyss,the weeknd & lana del rey / the weeknd,2025-02-15,62,4cYllEeJVH7dWKwQxpbk42,50,0,0,,2/1/2025,0,False,282873,Hurry Up Tomorrow,1/30/2025,0.177,0.422,0,-8.557,0,0.032,0.197,3.34e-06,0.178,0.0518,81.284,4,the weeknd
take me back to la,the weeknd,2025-02-15,63,3W5Y2d0HB3sgubDAYXGRKn,50,-1,0,CA,2/4/2025,46,False,253734,Hurry Up Tomorrow,1/30/2025,0.344,0.571,8,-7.58,0,0.0461,0.0721,0.0,0.093,0.199,207.924,4,the weeknd
given up on me,the weeknd,2025-02-15,65,3niLgyM9yJTaZMpeXjjSSk,47,-5,3,CA,2/4/2025,47,False,354781,Hurry Up Tomorrow,1/30/2025,0.416,0.386,0,-12.3,1,0.0541,0.0715,0.00512,0.132,0.0604,116.892,4,the weeknd
opening night,the weeknd,2025-02-15,68,4oahRRZECfGud6eL7Lj7CO,43,-9,7,BG,2/4/2025,48,False,96024,Hurry Up Tomorrow,1/30/2025,0.525,0.661,4,-8.407,0,0.0578,0.035,0.167,0.377,0.549,89.985,4,the weeknd
i can't wait to get there,the weeknd,2025-02-15,76,0bcZ7xN9IcjSNxLerzR2yl,34,-6,16,CA,2/2/2025,68,True,188921,Hurry Up Tomorrow,1/31/2025,0.65,0.436,1,-10.047,0,0.048,0.538,0.00223,0.118,0.122,146.052,4,the weeknd
7 dias,"gabito ballesteros & tito double p / gabito ballesteros, tito double p",2025-02-15,78,5Z75FvRFiultmPFWHx5jQ7,32,-4,3,SV,4/2/2025,90,True,180688,7 Dias,1/30/2025,0.838,0.746,11,-3.749,1,0.0614,0.386,0.0,0.0839,0.577,111.913,3,gabito ballesteros
nissan altima,doechii,2025-02-15,86,2dKkVF2m160z0RNDN2dddc,50,-5,-9,US,2/13/2025,82,True,126832,Alligator Bites Never Heal,8/30/2024,0.974,0.711,11,-5.206,0,0.194,0.0988,3.92e-05,0.0888,0.328,117.038,4,doechii
love hangover / love hangover (feat. dominic fike),"jennie & dominic fike / jennie, dominic fike",2025-02-15,90,0rx7xu0RmZLpJjKNVZjSVv,44,2,-11,TW,4/2/2025,82,True,180129,Ruby,3/7/2025,0.627,0.781,0,-6.011,0,0.227,0.121,0.0,0.133,0.581,147.691,4,jennie
worst way,riley green,2025-02-15,94,1osfLqL6L2iQsirRf83ded,44,6,6,CA,4/2/2025,82,False,220558,Way Out Here,4/12/2024,0.366,0.492,11,-7.9,1,0.0324,0.0899,0.000994,0.132,0.349,197.768,3,riley green
all the stars / all the stars (with sza),"kendrick lamar & sza / kendrick lamar, sza",2025-02-22,8,3GCdLUSnKSMJhs4Tj6CV3s,24,0,-6,,4/2/2025,95,True,232186,Black Panther The Album Music From And Inspired By,2/9/2018,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,kendrick lamar
humble.,kendrick lamar,2025-02-22,27,7KXjTSCq5nL1LoYtL7XAwS,45,0,5,US,3/6/2025,84,True,177000,DAMN.,4/14/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,kendrick lamar
ordinary,alex warren,2025-02-22,55,2RkZ5LkEzeHGRsmDqKwmaJ,3,1,47,,4/2/2025,73,False,186964,"You'll Be Alright, Kid (Chapter 1)",9/27/2024,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,alex warren
born again / born again (feat. doja cat & raye),"lisa featuring doja cat & raye / lisa, doja cat, raye",2025-02-22,62,7KNmIjcmGJIBrhP2s5Vioe,3,0,0,TH,4/2/2025,82,True,231174,Alter Ego,2/28/2025,0.688,0.777,1,-4.714,1,0.0408,0.0688,0.0,0.0801,0.368,114.998,4,lisa
euphoria,kendrick lamar,2025-02-22,74,77DRzu7ERs0TX3roZcre7Q,50,0,0,ZA,7/12/2024,88,True,383639,euphoria,4/30/2024,0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,4,kendrick lamar
the greatest,billie eilish,2025-02-22,87,6TGd66r0nlPaYm3KIoI7ET,43,-2,-14,NZ,6/7/2024,89,False,293840,HIT ME HARD AND SOFT,5/17/2024,0.407,0.192,7,-10.99,1,0.0368,0.637,3.33e-06,0.21,0.159,128.173,4,billie eilish
gimme a hug,drake,2025-03-01,1,5Nz7hI3cCOHmMR4vSLJ1An,48,-5,-22,CA,3/2/2025,79,True,193054,$ome $exy $ongs 4 U,2/14/2025,0.457,0.671,1,-5.53,1,0.0979,0.0643,0.0,0.0772,0.245,142.95,4,drake
nokia,drake,2025-03-01,4,2u9S9JJ6hTZS3Vf22HOZKg,23,4,8,,4/2/2025,92,True,241023,$ome $exy $ongs 4 U,2/14/2025,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4,drake
cn tower,"partynextdoor & drake / partynextdoor, drake",2025-03-01,12,4u43I0LP2Xf85OAS85eG0R,46,4,-19,CA,3/4/2025,79,True,241889,$ome $exy $ongs 4 U,2/14/2025,0.672,0.412,3,-7.057,0,0.194,0.318,0.0,0.131,0.217,126.921,4,partynextdoor
something about you,"partynextdoor & drake / partynextdoor, drake",2025-03-01,20,1F6nHHDJyTHLgDDFj1ZZDt,43,-6,7,CA,2/21/2025,76,True,218682,$ome $exy $ongs 4 U,2/14/2025,0.51,0.491,7,-8.869,0,0.1,0.24,2.73e-05,0.359,0.0792,136.093,4,partynextdoor
busy woman,sabrina carpenter,2025-03-01,21,0b0Dz0Gi86SVdBxYeiQcCP,48,1,2,US,4/2/2025,91,True,186612,Short n' Sweet (Deluxe),2/14/2025,0.727,0.755,7,-5.152,1,0.036,0.17,0.0,0.101,0.903,117.015,4,sabrina carpenter
moth balls,"partynextdoor & drake / partynextdoor, drake",2025-03-01,23,7DL2F2bueQycqYjqsjHYjG,38,-3,12,CA,2/21/2025,76,True,212629,$ome $exy $ongs 4 U,2/14/2025,0.513,0.461,1,-7.951,1,0.182,0.391,0.0,0.0995,0.194,95.551,4,partynextdoor
somebody loves me,"partynextdoor & drake / partynextdoor, drake",2025-03-01,24,2kZoOj1n5vk9BuF0sih58M,32,-5,18,CA,2/21/2025,76,True,182767,$ome $exy $ongs 4 U,2/14/2025,0.365,0.511,9,-6.14,1,0.0905,0.514,0.0,0.702,0.222,77.029,3,partynextdoor
deeper,partynextdoor,2025-03-01,25,4JeD0FGslDsMeeahEGZa2L,49,-17,1,ZA,2/21/2025,76,True,172337,$ome $exy $ongs 4 U,2/14/2025,0.431,0.534,7,-7.302,0,0.094,0.0965,0.0,0.0629,0.322,100.581,4,partynextdoor
spider-man superman,"partynextdoor & drake / partynextdoor, drake",2025-03-01,29,4GqhG9rDuRUoNyDSMJ0Brq,48,-7,2,ZA,2/20/2025,75,True,203893,$ome $exy $ongs 4 U,2/14/2025,0.453,0.52,11,-9.146,1,0.0637,0.658,4.24e-06,0.118,0.111,111.035,4,partynextdoor
crying in chanel,drake,2025-03-01,31,5aIEFCKhVUM5sKkwOSdFiM,44,-12,6,ZA,2/19/2025,74,True,199602,$ome $exy $ongs 4 U,2/14/2025,0.6,0.411,2,-9.139,1,0.0719,0.224,0.000159,0.0997,0.119,113.327,4,drake
small town fame,drake,2025-03-01,34,1YHQQFtKqFSFrqL4cNvstU,48,-15,2,ZA,2/19/2025,74,True,148509,$ome $exy $ongs 4 U,2/14/2025,0.842,0.524,1,-6.031,0,0.305,0.443,9.74e-06,0.303,0.354,100.002,4,drake
raining in houston,drake,2025-03-01,37,2xxb5zW09uwbgyLprALi9E,36,12,14,ZA,2/18/2025,73,True,244931,$ome $exy $ongs 4 U,2/14/2025,0.465,0.534,7,-6.316,0,0.0546,0.788,0.0,0.0992,0.439,119.173,4,drake
brian steel,drake,2025-03-01,41,3FHO87BSOEVAsedSnCTnvz,43,7,7,ZA,2/18/2025,73,True,111406,$ome $exy $ongs 4 U,2/14/2025,0.761,0.557,4,-7.98,0,0.171,0.0971,0.000118,0.214,0.474,146.971,4,drake
lasers,"partynextdoor & drake / partynextdoor, drake",2025-03-01,54,2vjFTjmvpFjFM01cNdG2ik,47,-10,3,CA,2/17/2025,70,True,198692,$ome $exy $ongs 4 U,2/14/2025,0.546,0.494,0,-4.707,0,0.0748,0.636,0.0,0.118,0.182,119.458,4,partynextdoor
celibacy,"partynextdoor & drake / partynextdoor, drake",2025-03-01,60,578CwfxpfH2HxlENOCHc2n,47,-20,3,CA,2/16/2025,68,True,235620,$ome $exy $ongs 4 U,2/14/2025,0.486,0.357,7,-9.69,0,0.045,0.352,0.0,0.0898,0.15,120.133,4,partynextdoor
15 minutes,sabrina carpenter,2025-03-01,61,1zhvxTuSha22nsUT5Nw8gE,39,0,-13,IE,3/14/2025,85,True,191519,Short n' Sweet (Deluxe),2/14/2025,0.581,0.888,7,-3.795,1,0.0714,0.00946,0.0,0.308,0.731,132.002,4,sabrina carpenter
greedy,"partynextdoor & drake / partynextdoor, drake",2025-03-01,64,2WNUYpLeOSMSlWgOmgGURl,48,-15,2,CA,2/16/2025,40,False,386165,$ome $exy $ongs 4 U,2/13/2025,0.362,0.366,8,-8.031,0,0.0312,0.896,4.7e-05,0.142,0.147,131.759,4,partynextdoor
when he's gone,"partynextdoor & drake / partynextdoor, drake",2025-03-01,67,6mmPe3Y3SEtYb9HZsHTyrj,42,8,8,ZA,2/15/2025,0,True,209836,$ome $exy $ongs 4 U,2/14/2025,0.442,0.5,4,-6.47,0,0.221,0.843,0.0,0.0943,0.252,86.172,4,partynextdoor
omw,"partynextdoor & drake / partynextdoor, drake",2025-03-01,68,775a936b2Vzl3fw86FaVat,50,-20,0,CA,2/16/2025,68,True,233030,$ome $exy $ongs 4 U,2/14/2025,0.387,0.55,5,-5.568,1,0.031,0.102,1.73e-05,0.117,0.123,144.11,4,partynextdoor
glorious,"partynextdoor & drake / partynextdoor, drake",2025-03-01,77,1mKNJs35ede94bTPWveVOo,32,18,18,CA,2/15/2025,0,True,205082,$ome $exy $ongs 4 U,2/14/2025,0.558,0.548,7,-8.701,1,0.346,0.149,0.0,0.137,0.505,152.022,4,partynextdoor
couldn't make it any harder / couldn’t make it any harder,sabrina carpenter,2025-03-01,78,5YwBaDW36fztKNnoiHQar3,31,19,19,US,2/15/2025,46,True,179857,Short n' Sweet (Deluxe),2/14/2025,0.468,0.46,4,-4.668,1,0.0264,0.412,0.0,0.116,0.301,97.469,3,sabrina carpenter
por esos ojos,fuerza regida,2025-03-01,79,5jHozZMWbrExAFni95mvvH,9,-3,11,SV,4/2/2025,89,True,188064,Por Esos Ojos,2/11/2025,0.509,0.681,5,-6.978,0,0.106,0.294,0.0,0.191,0.511,102.462,3,fuerza regida
bad reviews,sabrina carpenter,2025-03-01,81,1Y66A5zH3iPOWCDIuSDQR5,36,14,14,US,2/15/2025,46,False,141393,Short n' Sweet (Deluxe),2/14/2025,0.516,0.57,11,-7.326,1,0.0294,0.292,0.0,0.376,0.452,104.172,4,sabrina carpenter
revolving door,tate mcrae,2025-03-08,16,541sN2qNfIlllGn9nGOQoC,30,4,-2,US,4/2/2025,90,True,180032,So Close To What,2/21/2025,0.452,0.737,6,-6.22,1,0.27,0.354,0.0,0.105,0.179,147.822,4,tate mcrae
i know love / no i'm not in love,tate mcrae featauring the kid laroi / tate mcrae,2025-03-08,37,7a1D1K7sgFtumXN02ZdbUd,48,2,2,CA,2/22/2025,41,False,170097,So Close To What,2/21/2025,0.753,0.748,5,-3.585,0,0.0452,0.38,0.0,0.185,0.882,105.069,4,tate mcrae
dear god,tate mcrae,2025-03-08,38,2ETQsbiuGm2WLOSOr2I19A,42,-10,-20,CA,3/7/2025,77,False,171014,So Close To What,2/21/2025,0.73,0.741,1,-5.454,1,0.0287,0.0802,1.3e-05,0.278,0.444,97.978,4,tate mcrae
purple lace bra,tate mcrae,2025-03-08,47,2bqLj0NvdtGbPCl9PdBtP2,44,-5,-17,CA,3/7/2025,76,False,191132,So Close To What,2/21/2025,0.478,0.8,5,-3.991,0,0.0311,0.156,2.62e-05,0.136,0.409,145.016,4,tate mcrae
miss possessive,tate mcrae,2025-03-08,48,4Q9ExJGFgL9Jd9kmYH3nXs,41,0,-19,CA,3/6/2025,76,True,139098,So Close To What,2/21/2025,0.782,0.747,8,-4.656,1,0.0361,0.259,1.85e-05,0.1,0.325,101.992,4,tate mcrae
call me when you break up / call me when you break up (with gracie abrams),"selena gomez, benny blanco & gracie abrams / selena gomez, benny blanco, gracie abrams",2025-03-08,52,4yFPKNzjkCS0PpRzhcvy1d,47,3,-16,SG,3/1/2025,76,False,126831,Call Me When You Break Up (with Gracie Abrams),2/20/2025,0.791,0.698,0,-5.006,1,0.129,0.373,4.27e-05,0.0535,0.853,148.008,4,selena gomez
bloodonmyhands / bloodonmyhands (feat. flo milli),"tate mcrae featuring flo milli / tate mcrae, flo milli",2025-03-08,58,0DA8aZZvG73AijDYT00ki1,45,-5,5,CA,2/28/2025,74,True,162403,So Close To What,2/21/2025,0.574,0.704,11,-4.775,0,0.0528,0.303,0.0,0.175,0.351,72.496,4,tate mcrae
clouds,j. cole,2025-03-08,63,53WWD2BBC6Jcip8wy5CniE,35,15,15,US,3/1/2025,70,True,242086,cLOUDs,2/21/2025,0.751,0.506,1,-10.473,1,0.28,0.384,1.33e-06,0.0968,0.399,114.894,4,j. cole
signs,tate mcrae,2025-03-08,68,6DDEfqOoLlasIbPdzboOu4,43,-5,7,CA,2/27/2025,72,False,173765,So Close To What,2/21/2025,0.665,0.579,6,-5.2,0,0.0426,0.386,0.0,0.0854,0.664,112.067,4,tate mcrae
extral / mantra,jennie & doechii / jennie,2025-03-08,69,1kUyOJb3fzUo8r0OCz5SQk,40,4,-8,TW,4/2/2025,81,True,136627,Ruby,3/7/2025,0.894,0.725,10,-4.984,0,0.0432,0.00434,1.15e-05,0.0815,0.837,116.988,4,jennie
2 hands,tate mcrae,2025-03-08,70,0B7tnohfi83RQquo2JRHrL,47,-3,3,CA,2/27/2025,71,True,182740,So Close To What,2/21/2025,0.615,0.782,1,-4.302,1,0.0522,0.127,0.0,0.19,0.583,104.027,4,tate mcrae
like i do,tate mcrae,2025-03-08,84,6jp9WjJtKF0Fgks0Y9Kkni,42,8,8,CA,2/22/2025,42,True,182061,So Close To What,2/21/2025,0.619,0.721,1,-4.794,0,0.0405,0.208,0.00427,0.122,0.212,96.028,4,tate mcrae
greenlight,tate mcrae,2025-03-08,93,56LQyaXsYWQZ2b7OPLAKEO,49,1,1,CA,2/22/2025,41,True,165094,So Close To What,2/21/2025,0.314,0.637,0,-4.812,1,0.0381,0.56,0.0,0.105,0.356,74.624,4,tate mcrae
sorry i'm here for someone else,benson boone,2025-03-15,38,3x3K1RP3Zfi2qeMR8kyrNO,42,7,-4,NO,4/2/2025,87,False,156582,Sorry I'm Here For Someone Else,2/27/2025,0.533,0.758,2,-4.613,1,0.034,0.0437,0.0,0.16,0.515,149.719,4,benson boone
a n x i e t y / a n x i e t y (feat. doechii),"sleepy hallow featuring doechii / sleepy hallow, doechii",2025-03-15,39,3FjK86616FbluOfTxNK2gY,28,17,22,,3/3/2025,74,True,148928,Boy Meets World,9/15/2023,0.931,0.401,0,-8.756,1,0.158,0.399,2.05e-06,0.266,0.613,128.871,4,sleepy hallow
ms. whitman,bhad bhabie,2025-03-15,50,1LjSbD1yQ0RQc6mwxGHw4m,44,5,6,US,3/7/2025,71,True,126036,Ms. Whitman,2/25/2025,0.826,0.739,7,-7.77,1,0.398,0.559,0.0,0.305,0.833,80.22,4,bhad bhabie
tattoo,tito double p,2025-03-15,79,3KgHiAVuP88QoQs9CO4z1P,21,-2,0,SV,4/2/2025,90,True,167955,TATTOO,2/27/2025,0.755,0.747,10,-4.278,0,0.0656,0.482,5.48e-06,0.0853,0.463,109.897,3,tito double p
