title,artist_combined,date,rank,spotify_id,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist
tu boda,"oscar maydon & fuerza regida / oscar maydon, fuerza regida",2025-01-04,62,1cOboCuWYI2osTOfolMRS6,11,-2,4,SV,4/2/2025,89,True,225880,Tu Boda,9/26/2024,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,3,oscar maydon
no more hiding,sza,2025-01-04,63,3obGrchYRmtO5rk4O2ZtLZ,30,20,20,US,12/22/2024,62,False,162662,SOS Deluxe: LANA,12/20/2024,0.516,0.292,2,-12.991,0,0.0439,0.982,0.811,0.118,0.643,161.951,3,sza
i never lie,zach top,2025-01-04,66,3t6gUcGYLrUuqwpXjOFWQc,49,1,1,US,3/30/2025,83,False,224906,Cold Beer & Country Music,4/5/2024,0.782,0.641,3,-6.431,1,0.0275,0.332,0.00923,0.108,0.522,107.997,4,zach top
another life,sza,2025-01-04,67,4tfOoCcYPtb08J5HWlSo3r,49,0,1,US,1/1/2025,78,True,205214,SOS Deluxe: LANA,12/20/2024,0.332,0.45,7,-8.664,1,0.045,0.68,8.83e-06,0.116,0.357,215.338,3,sza
no one noticed,the marias / the marías,2025-01-04,68,3siwsiaEoU4Kuuc9WKMUy5,18,1,4,US,4/2/2025,91,False,236906,Submarine,5/31/2024,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,the marías
defying gravity,"cynthia erivo featuring ariana grande / cynthia erivo, ariana grande",2025-01-04,69,5QMrH5nszZZR3nefIj6Mar,48,-1,-14,GB,12/18/2024,85,False,459766,Wicked: The Soundtrack,11/22/2024,0.31,0.303,1,-10.345,1,0.0344,0.527,0.0,0.0436,0.208,148.419,4,cynthia erivo
it's ok i'm ok,tate mcrae,2025-01-04,70,3OfqwyE7RrZrtuxCRixfII,50,0,-13,CA,3/6/2025,73,True,156642,So Close To What,2/21/2025,0.749,0.53,1,-7.603,0,0.0448,0.0122,0.000148,0.0772,0.374,115.011,4,tate mcrae
run rudolph run / run rudolph run - spotify singles holiday,mark ambor,2025-01-04,72,6pheMGrfMwwnypqafU7d4k,45,-20,5,IE,12/27/2024,87,False,155846,Run Rudolph Run - Spotify Singles Holiday,10/15/2024,0.707,0.735,11,-6.748,1,0.0344,0.0982,8.35e-05,0.124,0.962,140.051,4,mark ambor
love me 4 me,sza,2025-01-04,73,7eCVm5KcpFrDhx6XHkF3t6,49,1,1,US,12/22/2024,58,False,185749,SOS Deluxe: LANA,12/20/2024,0.61,0.576,11,-10.319,0,0.0319,0.339,0.00128,0.181,0.592,147.957,4,sza
chill baby / kill bill,sza,2025-01-04,74,1Qrg8KqiBpW07V7PNxwwwL,50,0,-7,MY,3/1/2025,82,False,153946,SOS,12/8/2022,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,sza
my turn / saturn,sza,2025-01-04,75,040I32EKLxQrkuxQu1pqvT,49,-1,1,US,2/14/2025,80,False,186191,SOS Deluxe: LANA,12/20/2024,0.557,0.577,1,-7.514,1,0.027,0.64,0.0,0.104,0.328,89.111,4,sza
hey now / hey now (feat. dody6),"kendrick lamar featuring dody6 / kendrick lamar, dody6",2025-01-04,76,5S8VwnB4sLi6W0lYTWYylu,46,-1,4,US,2/14/2025,81,True,217478,GNX,11/22/2024,0.806,0.358,10,-8.769,1,0.117,0.00443,0.00162,0.412,0.188,102.011,4,kendrick lamar
que pasaria... / qué pasaría...,"rauw alejandro & bad bunny / rauw alejandro, bad bunny",2025-01-04,77,0l0vcZMU7AOeQmUIREoI2U,32,-5,-8,VE,4/2/2025,90,True,191018,Cosa Nuestra,11/15/2024,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4,rauw alejandro
residuals,chris brown,2025-01-04,79,4t4rGgiVX7woTmlnW9SHJ7,22,1,28,ZA,4/2/2025,76,False,215178,11:11 (Deluxe),4/11/2024,0.58,0.645,6,-7.793,0,0.0821,0.342,0.0,0.108,0.171,114.905,4,chris brown
holiday road / holiday road - spotify singles holiday,kesha,2025-01-04,82,6hZvOA9oBZZM812GNDLjEb,44,0,6,US,12/26/2024,85,False,125196,Holiday Road - Spotify Singles Holiday,10/15/2024,0.439,0.883,5,-6.466,1,0.0601,0.00207,1.12e-05,0.0784,0.492,169.978,4,kesha
santa baby,laufey,2025-01-04,83,4jHl6jgzZOnS4nGamPZ1Uk,50,0,0,US,12/26/2024,84,False,182040,A Very Laufey Holiday,11/1/2024,0.802,0.379,7,-8.769,1,0.0724,0.861,0.0,0.105,0.426,105.999,3,laufey
wacced out murals,kendrick lamar,2025-01-04,84,5gOfC9UzZQzTyShqPMrpjT,48,0,2,US,12/11/2024,87,True,317092,GNX,11/22/2024,0.761,0.501,9,-10.759,0,0.459,0.249,0.0,0.136,0.502,81.998,4,kendrick lamar
dancing in the flames,the weeknd,2025-01-04,85,7z7kvUQGwlC6iOl7vMuAr9,47,-4,-10,SG,10/6/2024,86,False,220036,Dancing In The Flames,9/13/2024,0.552,0.73,1,-6.203,1,0.0381,0.0011,0.0,0.0837,0.162,116.875,4,the weeknd
empty out your pockets,juice wrld,2025-01-04,86,2QxekHjOYDnzNO5w8hu2D9,48,0,2,US,1/1/2025,85,True,135653,The Party Never Ends 2.0,11/30/2024,0.74,0.718,8,-6.278,0,0.133,0.329,0.0,0.38,0.345,91.929,4,juice wrld
good news,shaboozey,2025-01-04,89,54p6vNJwGkt4FTaM8SCsxt,36,14,14,NO,11/17/2024,60,False,199209,Good News,11/15/2024,0.572,0.535,8,-7.493,1,0.0391,0.471,3.61e-06,0.0902,0.414,161.794,4,shaboozey
dos dias / dos días,"tito double p & peso pluma / tito double p, peso pluma",2025-01-04,90,5lKFO0PrOC9jmOlPEdjHsL,27,-2,-1,SV,4/2/2025,89,True,153928,INCÓMODO,8/22/2024,0.745,0.513,1,-9.116,1,0.087,0.783,0.0,0.216,0.929,109.935,3,tito double p
25,rod wave,2025-01-04,91,0U60hgxzGit7juEuHul2y3,36,-8,14,ZA,10/17/2024,70,True,180000,Last Lap,10/11/2024,0.427,0.5,0,-8.269,1,0.141,0.286,0.0,0.127,0.269,63.925,5,rod wave
popular,ariana grande,2025-01-04,92,3i8fIJNV0yuC4kXT3SkVBZ,46,4,4,GB,12/6/2024,83,False,241501,Wicked: The Soundtrack,11/22/2024,0.44,0.319,5,-12.356,1,0.166,0.732,0.0,0.0967,0.47,178.329,4,ariana grande
think i'm in love with you,chris stapleton,2025-01-04,93,3Gn1zuHNLtGuGEOXwq0k7e,47,-2,-3,NZ,3/14/2025,78,False,222800,Higher,11/10/2023,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,4,chris stapleton
peekaboo / peekaboo (feat. azchike),"kendrick lamar featuring azchike / kendrick lamar, az chike",2025-01-04,94,2Uts1QFB4u2YNIMiqcb4de,48,-3,-15,US,3/13/2025,87,True,155917,GNX,11/22/2024,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4,kendrick lamar
lose control,teddy swims,2025-01-11,20,17phhZDn6oGtzMe56NuWvj,27,1,3,,4/2/2025,91,False,210688,I've Tried Everything But Therapy (Part 1),9/15/2023,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,teddy swims
beautiful things,benson boone,2025-01-11,6,3xkHsmpQCBMytMJNiDf3Ii,14,1,3,,4/2/2025,91,False,180304,Fireworks & Rollerblades,4/5/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,benson boone
too sweet,hozier,2025-01-11,8,19XpFsce28aByvCC4g89tJ,24,7,26,NZ,4/2/2025,85,False,251424,Unreal Unearth: Unaired,8/19/2024,0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,4,hozier
"good luck, babe!",chappell roan,2025-01-11,11,0WbMK4wrZ1wFSty9F7FCgu,30,-1,-1,,4/2/2025,94,False,218423,"Good Luck, Babe!",4/5/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,chappell roan
stargazing,myles smith,2025-01-11,13,3Vr3zh0r7ALn8VLqCiRR10,50,0,0,CH,3/31/2025,88,False,172533,Stargazing,5/10/2024,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,4,myles smith
not like us,kendrick lamar,2025-01-11,14,6AI3ezQ4o3HUoP6Dhudph3,20,-1,-9,,4/2/2025,96,True,274192,Not Like Us,5/4/2024,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,kendrick lamar
who,jimin,2025-01-11,18,7tI8dRuH2Yc6RuoTjxo4dU,19,-6,-7,,4/2/2025,89,False,170887,MUSE,7/19/2024,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,jimin
please please please,sabrina carpenter,2025-01-11,20,2tHwzyyOLoWSFqYNjeVMzj,33,-5,17,NO,4/2/2025,87,True,186365,Short n' Sweet,8/23/2024,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,4,sabrina carpenter
smile,morgan wallen,2025-01-11,21,3MJ6lFNV12FSHAOzTzkwxz,41,5,-5,US,1/31/2025,83,False,224127,Smile,12/31/2024,0.502,0.223,11,-11.285,1,0.0331,0.943,3.78e-06,0.0766,0.396,126.31,4,morgan wallen
million dollar baby,tommy richman,2025-01-11,24,5AJ9hqTS2wcFQCELCFRO7A,47,1,2,NZ,2/26/2025,84,False,155151,MILLION DOLLAR BABY,4/26/2024,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4,tommy richman
lies lies lies,morgan wallen,2025-01-11,28,7Fzl7QaTu47WyP9R5S5mh5,45,3,-3,US,10/23/2024,83,False,198068,Lies Lies Lies,7/5/2024,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,4,morgan wallen
wildflower,billie eilish,2025-01-11,29,3QaPy1KgI7nu9FJEQUgn6h,17,0,-4,,4/2/2025,95,False,261466,HIT ME HARD AND SOFT,5/17/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,billie eilish
"i love you, i'm sorry",gracie abrams,2025-01-11,37,51rfRCiUSvxXlCSCfIztBy,37,0,11,SG,4/2/2025,90,True,157146,The Secret of Us,6/21/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0.0,0.133,0.338,115.94,3,gracie abrams
loco,neton vega,2025-01-11,44,4eLDmhsJW3JoZTXCAozHor,42,8,8,,4/2/2025,84,False,186521,Mi Vida Mi Muerte,2/14/2025,0.849,0.708,1,-5.502,1,0.0686,0.0741,0.00768,0.139,0.636,91.981,4,neton vega
guy for that / guy for that (feat. luke combs),"post malone featuring luke combs / post malone, luke combs",2025-01-11,48,6StwwqB84sJeLr7tZDTxEX,46,-15,4,NZ,1/19/2025,76,False,164011,F-1 Trillion,8/15/2024,0.611,0.911,8,-4.106,1,0.0647,0.0061,0.0,0.135,0.495,119.986,4,post malone
